2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-main-api_2.13/0.8.0/mill-main-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-main-client/0.8.0/mill-main-client-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/upickle-core_2.13/1.2.0/upickle-core_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/jline/jline-reader/3.14.1/jline-reader-3.14.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-repl_2.13.2/2.2.0/ammonite-repl_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/github/javaparser/javaparser-core/3.2.5/javaparser-core-3.2.5-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/jline/jline-reader/3.14.1/jline-reader-3.14.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scalameta/scalafmt-interfaces/2.2.1/scalafmt-interfaces-2.2.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib-api/0.8.0/mill-scalanativelib-api-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-ops_2.13/2.2.0/ammonite-ops_2.13-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-terminal_2.13/2.2.0/ammonite-terminal_2.13-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bsp4j/2.0.0-M6/bsp4j-2.0.0-M6-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/github/javaparser/javaparser-core/3.2.5/javaparser-core-3.2.5-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scalameta/fastparse_2.13/1.0.1/fastparse_2.13-1.0.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-main-client/0.8.0/mill-main-client-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/jline/jline-terminal-jna/3.14.1/jline-terminal-jna-3.14.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-interp-api_2.13.2/2.2.0/ammonite-interp-api_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scalameta/scalafmt-dynamic_2.13/2.2.1/scalafmt-dynamic_2.13-2.2.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/jline/jline-terminal-jna/3.14.1/jline-terminal-jna-3.14.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/io/argonaut/argonaut_2.13/6.2.3/argonaut_2.13-6.2.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-ops_2.13/2.2.0/ammonite-ops_2.13-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bsp4j/2.0.0-M6/bsp4j-2.0.0-M6-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib_2.13/0.8.0/mill-scalanativelib_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/scalameta/scalafmt-interfaces/2.2.1/scalafmt-interfaces-2.2.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/google/guava/guava/21.0/guava-21.0-sources.jar[0m
2022.05.21 13:01:48 INFO  time: code lens generation in 11s[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/org/scalameta/fastparse_2.13/1.0.1/fastparse_2.13-1.0.1-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.lib.macro/2.18.0/org.eclipse.xtend.lib.macro-2.18.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/org/scalameta/scalafmt-dynamic_2.13/2.2.1/scalafmt-dynamic_2.13-2.2.1-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/upickle_2.13/1.2.0/upickle_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.lib.macro/2.18.0/org.eclipse.xtend.lib.macro-2.18.0-sources.jar[0m
